geo\time	1994_1996 	1997_1999 	1998_2000 	1999_2001 	2000_2002 	2001_2003 	2002_2004 	2003_2005 	2004_2006 	2005_2007 	2006_2008 	2007_2009 
BG22	: 	1167.5 	1491.0 	1097.2 	2340.2 	1691.0 	: 	: 	: 	: 	: 	: 
BG23	: 	1245.8 	1575.0 	1163.7 	2542.5 	1841.7 	: 	: 	: 	: 	: 	: 
BG31	: 	: 	: 	: 	: 	: 	: 	1121.1 	1113.3 	1107.0 	1072.8 	: 
BG32	: 	: 	: 	: 	: 	: 	: 	1110.5 	1089.0 	1078.2 	1053.3 	: 
BG33	: 	: 	: 	: 	: 	: 	: 	1102.1 	1081.9 	1073.9 	1059.3 	: 
BG34	: 	: 	: 	: 	: 	: 	: 	1103.5 	1086.8 	1075.0 	1057.6 	: 
BG41	: 	: 	: 	: 	: 	: 	: 	1019.9 	1010.3 	1001.6 	976.1 	: 
BG42	: 	: 	: 	: 	: 	: 	: 	1030.0 	1010.3 	1002.6 	983.3 	: 
CH01	: 	586.2 	576.3 	561.5 	549.2 	543.6 	528.3 	517.1 	501.6 	495.1 	: 	: 
CH02	: 	618.3 	608.5 	594.3 	580.9 	568.4 	552.9 	536.1 	520.5 	509.4 	: 	: 
CH03	: 	608.2 	597.9 	583.7 	568.4 	560.3 	540.0 	527.9 	507.7 	497.0 	: 	: 
CH04	: 	609.6 	602.4 	593.3 	578.2 	561.9 	540.2 	529.8 	510.4 	498.6 	: 	: 
CH05	: 	614.3 	600.3 	586.8 	574.6 	567.3 	552.0 	541.6 	520.6 	513.5 	: 	: 
CH06	: 	600.3 	590.8 	577.2 	562.4 	548.6 	533.2 	527.6 	508.8 	494.2 	: 	: 
CH07	: 	551.6 	538.7 	527.4 	520.1 	512.4 	493.4 	482.6 	466.2 	458.0 	: 	: 
CZ01	: 	834.8 	812.8 	797.3 	794.1 	797.2 	789.2 	767.8 	731.3 	703.1 	677.0 	: 
CZ02	: 	977.3 	952.4 	941.1 	915.6 	918.1 	912.0 	906.5 	861.2 	826.8 	787.3 	: 
CZ03	: 	942.6 	911.8 	894.5 	875.0 	877.8 	872.5 	860.8 	825.3 	790.0 	764.8 	: 
CZ04	: 	1049.9 	1030.9 	1013.0 	1011.0 	1017.1 	1003.0 	979.0 	937.5 	904.8 	875.9 	: 
CZ05	: 	912.2 	890.8 	873.1 	861.6 	864.8 	861.8 	842.7 	809.2 	780.9 	753.9 	: 
CZ06	: 	882.2 	863.6 	848.1 	840.1 	839.0 	831.0 	822.7 	788.6 	768.6 	729.4 	: 
CZ07	: 	930.3 	905.3 	886.0 	874.3 	869.5 	856.0 	844.9 	809.0 	784.8 	757.1 	: 
CZ08	: 	986.8 	960.9 	950.2 	946.5 	951.6 	940.9 	922.7 	885.0 	854.9 	830.9 	: 
DE11	: 	: 	: 	: 	: 	587.6 	574.7 	564.6 	541.7 	532.4 	521.1 	: 
DE12	: 	: 	: 	: 	: 	624.2 	608.1 	588.7 	562.1 	545.7 	534.2 	: 
DE13	: 	: 	: 	: 	: 	593.7 	582.5 	572.6 	547.3 	529.6 	516.9 	: 
DE14	: 	: 	: 	: 	: 	589.9 	579.8 	563.8 	540.9 	531.3 	520.3 	: 
DE21	: 	: 	: 	: 	: 	596.6 	585.9 	573.9 	554.5 	543.0 	530.8 	: 
DE22	: 	: 	: 	: 	: 	667.2 	658.2 	643.7 	625.9 	608.8 	594.0 	: 
DE23	: 	: 	: 	: 	: 	687.9 	676.0 	663.7 	639.3 	626.0 	612.6 	: 
DE24	: 	: 	: 	: 	: 	695.2 	681.6 	670.0 	652.3 	638.9 	628.3 	: 
DE25	: 	: 	: 	: 	: 	657.6 	643.7 	631.8 	611.2 	600.3 	585.1 	: 
DE26	: 	: 	: 	: 	: 	635.9 	624.2 	610.1 	587.2 	574.5 	560.4 	: 
DE27	: 	: 	: 	: 	: 	630.5 	623.2 	611.9 	595.2 	581.4 	570.2 	: 
DE30	: 	: 	: 	: 	: 	668.3 	659.6 	644.4 	623.9 	606.4 	593.9 	: 
DE41	: 	: 	: 	: 	: 	731.1 	718.1 	701.9 	677.2 	663.4 	639.3 	: 
DE42	: 	: 	: 	: 	: 	707.1 	699.2 	678.4 	652.0 	632.2 	622.8 	: 
DE50	: 	: 	: 	: 	: 	675.4 	668.7 	655.0 	632.1 	620.3 	608.0 	: 
DE60	: 	: 	: 	: 	: 	648.3 	645.0 	630.2 	611.1 	594.1 	580.3 	: 
DE71	: 	: 	: 	: 	: 	625.0 	617.0 	599.1 	572.5 	558.4 	547.6 	: 
DE72	: 	: 	: 	: 	: 	663.1 	649.7 	634.0 	608.2 	597.5 	586.5 	: 
